id,name,salary_from,salary_to,currency,published_at,archived,url,requirement,responsibility
110219578,Junior IT специалист | Младший аналитик | Системный аналитик,80000,140000,RUR,2024-11-06T11:32:46+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110219578,"Высшее образование (желательно техническое или математическое). Плюсом будет знание языков программирования (например, SQL, <highlighttext>Python</highlighttext>). Понимание принципов работы реляционных баз данных. ",Сбор и анализ требований к системам. Разработка технических заданий. Участие в проектировании систем. Тестирование программного обеспечения.
108457731,DevOps-инженер,200000,400000,RUR,2024-10-10T11:52:26+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=108457731,"Умение применять инструменты для работы с IaC (Ansible, Terraform). Понимание практик безопасной разработки (SSDL). Опыт разработки на языках <highlighttext>Python</highlighttext>, Go...","Участие в развитии практик DevOps в команде. Обеспечение CI/CD процессов (разработка pipeline, разворачивание сред). Администрирование инфраструктуры (PostgreSQL, Redis, Keyсloak..."
110332334,Python Backend Developer Middle,150000,0,RUR,2024-11-07T16:34:27+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110332334,Опыт коммерческой разработки на <highlighttext>Python</highlighttext> от 2 лет. Уверенное знание FastAPI/Django/Flask. Опыт работы с микросервисной архитектурой. ,Разработка и поддержка микросервисной архитектуры. Создание и оптимизация backend-сервисов на <highlighttext>Python</highlighttext>. Интеграция с внешними API и сервисами. 
108811289,Senior Backend Developer (Python),0,0,0,2024-10-17T16:39:16+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=108811289,Опыт построения высоконагруженных сервисов и обеспечения их доступности и надёжности. Опыт разработки на <highlighttext>Python</highlighttext> от 3-х лет. ,Разрабатывать новые сервисы и активно участвовать в переходе на cloud native архитектуру. Проектировать архитектуру новых сервисов и оптимизировать производительность текущих. 
110262826,Junior+ Python/Go разработчик,70000,110000,RUR,2024-11-06T17:46:48+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110262826,"Опыт коммерческой разработки от 1 года. Владение <highlighttext>Python</highlighttext> 2/3. Владение (My)SQL, конкретно. Написать запросы, достаточные для CRUD (SELECT...","Написание и поддержка интеграций (<highlighttext>Python</highlighttext>2, MySQL, SOAP/REST). Поддержка и развитие существующих клиент-серверных продуктов (<highlighttext>Python</highlighttext> 3 + FastApi..."
109221893,"Middle QA manual engineer (онлайн-кинотеатр Premier, Матч ТВ, сайты телеканалов)",0,0,0,2024-10-24T13:24:30+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=109221893,"Опыт работы с инструментами подмены/изменения запросов (снифферы) - Fiddler, Charles Proxy. Опыт ручного тестирования бэкенд части приложений (REST API, Postman...","Проведение тестирования нового функционала, интеграционного и регрессионного тестирования. Участие во встречах по оценке сложности задач. Написание тест-кейсов и чеклистов. "
110262015,Web Backend Developer (Python),0,0,0,2024-11-06T17:26:57+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110262015,"Уверенное владение <highlighttext>Python</highlighttext> (от 3 лет). Опыт работы с Flask, понимание его экосистемы и лучших практик разработки. Знание и опыт...",Разработка и поддержка веб-приложений на Flask. Интеграция с внешними API и внутренними сервисами. Оптимизация производительности приложений. Работа с базами...
110416959,Backend Developer (Python/FAST API),0,0,0,2024-11-08T12:57:57+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110416959,"Уверенное владение <highlighttext>Python</highlighttext> (FAST API и Flask). Опыт работы с highload сервисами. Понимание DjangoORM и миграций. Опыт разработки API, работы...","Помогать выстраивать процессы в команде (стандарты и ревью кода, тесты, демо, ретро и т.д.). Разрабатывать новые продуктовые фичи, поступающие..."
110117743,Python Developer,0,0,0,2024-11-05T12:21:15+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110117743,"<highlighttext>Python</highlighttext> - flask/aiohttp/django, requests, SQLAlchemy, asyncio. Базовые навыки работы в cli, bash/zsh - SQL - написание сложных запросов (оконные функции...","Разработка скриптов для обработки кредитных заявок (Java, <highlighttext>Python</highlighttext>, SQL). Интеграция новых источников данных (БКИ, телеком, различные реестры). Оптимизация и рефакторинг..."
109214915,Стажер в отдел тестирования,0,0,0,2024-10-24T11:56:50+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=109214915,"Желателен опыт работы с Jira\Confluence. Желателен опыт в написании скриптов (Shell, <highlighttext>Python</highlighttext>). Желателен опыт работы с системами контроля версий...","Выполнение ручного функционального тестирования новых версий продукта. Тестирование графических и консольных интерфейсов. Регистрация выявленных ошибок, описание и определение условий возникновения..."
